;Matricula;Mes;Padrao;Remuneracao_Base_Antiga;R1013_Antiga;R1014_Antiga;Remuneracao_Base_Nova
;13198;072023;D39-E;0;0;0;16240.32
;13202;072023;C54-E;0;0;0;24214.29
;13203;072023;D39-E;0;0;0;16240.32
;13204;072023;B69-E;0;0;0;36103.43
;13208;072023;D39-E;0;0;0;16240.32
;13210;072023;E24-E;0;0;0;10892.27
;13213;072023;E24-E;0;0;0;10892.27
;13216;072023;E24-E;0;0;0;10892.27
;13220;072023;D39-E;0;0;0;16240.32
;13221;072023;E24-E;0;0;0;10892.27
;13226;072023;E24-E;0;0;0;10892.27
;13232;072023;C54-E;0;0;0;24214.29
;13233;072023;E24-E;0;0;0;10892.27
;13243;072023;E24-E;0;0;0;10892.27
;13244;072023;D39-E;0;0;0;16240.32
;13251;072023;B69-E;0;0;0;36103.43
;13253;072023;C54-E;0;0;0;24214.29
;13260;072023;E24-E;0;0;0;10892.27
;13261;072023;C54-E;0;0;0;24214.29
;13266;072023;E24-E;0;0;0;10892.27
;13267;072023;E24-E;0;0;0;10892.27
;13268;072023;D39-E;0;0;0;16240.32
;13271;072023;E24-E;0;0;0;10892.27
;13272;072023;C54-E;0;0;0;24214.29
;13274;072023;E24-E;0;0;0;10892.27
;13275;072023;D39-E;0;0;0;16240.32
;13278;072023;E24-E;0;0;0;10892.27
;13280;072023;E24-E;0;0;0;10892.27
;13281;072023;E24-E;0;0;0;10892.27
;13289;072023;E24-E;0;0;0;10892.27
;13295;072023;E24-E;0;0;0;10892.27
;13307;072023;C54-E;0;0;0;24214.29
;13308;072023;A69-E;0;0;0;36103.43
;13359;072023;C54-E;0;0;0;24214.29
;13458;072023;C51-E;0;0;0;22485.38
;13459;072023;C54-E;0;0;0;24214.29
;13461;072023;C54-E;0;0;0;24214.29
;13465;072023;C54-E;0;0;0;24214.29
;13466;072023;C54-E;0;0;0;24214.29
;13491;072023;B69-E;0;0;0;36103.43
;13498;072023;B65-E;0;0;0;32707.93
;13516;072023;C54-E;0;0;0;24214.29
;13525;072023;C54-E;0;0;0;24214.29
;13588;072023;B69-E;0;0;0;36103.43
;13671;072023;C54-E;0;0;0;24214.29
;13711;072023;B69-E;0;0;0;36103.43
;14236;072023;C54-E;0;0;0;24214.29
;14242;072023;C54-E;0;0;0;24214.29
;14246;072023;C54-E;0;0;0;24214.29
;14274;072023;C54-E;0;0;0;24214.29
;14304;072023;C54-E;0;0;0;24214.29
;14356;072023;C53-E;0;0;0;23623.7
;14428;072023;B69-E;0;0;0;36103.43
;14447;072023;C54-E;0;0;0;24214.29
;16540;072023;C51-E;0;0;0;22485.38
;16689;072023;C51-E;0;0;0;22485.38
;16690;072023;C50-E;0;0;0;21936.96
;16691;072023;C51-E;0;0;0;22485.38
;16693;072023;C51-E;0;0;0;22485.38
;16700;072023;C51-E;0;0;0;22485.38
;16706;072023;C45;0;0;0;19109.42
;16707;072023;C50-E;0;0;0;21936.96
;16709;072023;C51-E;0;0;0;22485.38
;16711;072023;C49-E;0;0;0;21401.91
;16720;072023;B66-E;0;0;0;33525.63
;16721;072023;C51-E;0;0;0;22485.38
;16726;072023;B66-E;0;0;0;33525.63
;16728;072023;B66-E;0;0;0;33525.63
;16730;072023;B66-E;0;0;0;33525.63
;16731;072023;C50-E;0;0;0;21936.96
;16732;072023;B66-E;0;0;0;33525.63
;16739;072023;B66-E;0;0;0;33525.63
;16740;072023;B66-E;0;0;0;33525.63
;16742;072023;B66-E;0;0;0;33525.63
;16743;072023;B66-E;0;0;0;33525.63
;16744;072023;B66-E;0;0;0;33525.63
;16746;072023;B66-E;0;0;0;33525.63
;16747;072023;B66-E;0;0;0;33525.63
;16749;072023;B66-E;0;0;0;33525.63
;16752;072023;B66-E;0;0;0;33525.63
;16753;072023;B66-E;0;0;0;33525.63
;16755;072023;B66-E;0;0;0;33525.63
;16759;072023;B65-E;0;0;0;32707.93
;16760;072023;B66-E;0;0;0;33525.63
;16764;072023;B66-E;0;0;0;33525.63
;16765;072023;B66-E;0;0;0;33525.63
;16769;072023;B58;0;0;0;27119.19
;16771;072023;B66-E;0;0;0;33525.63
;16772;072023;B66-E;0;0;0;33525.63
;16773;072023;B66-E;0;0;0;33525.63
;16777;072023;B66-E;0;0;0;33525.63
;16780;072023;A65-E;0;0;0;32707.93
;16786;072023;A66-E;0;0;0;33525.63
;16787;072023;A66-E;0;0;0;33525.63
;16791;072023;A65-E;0;0;0;32707.93
;16795;072023;A66-E;0;0;0;33525.63
;16796;072023;A65-E;0;0;0;32707.93
;16799;072023;A66-E;0;0;0;33525.63
;16800;072023;A66-E;0;0;0;33525.63
;16802;072023;B66-E;0;0;0;33525.63
;16803;072023;A66-E;0;0;0;33525.63
;16804;072023;B66-E;0;0;0;33525.63
;16805;072023;A66-E;0;0;0;33525.63
;16806;072023;A65-E;0;0;0;32707.93
;16809;072023;A66-E;0;0;0;33525.63
;16810;072023;B65-E;0;0;0;32707.93
;16811;072023;B66-E;0;0;0;33525.63
;16812;072023;A65-E;0;0;0;32707.93
;16813;072023;B66-E;0;0;0;33525.63
;16814;072023;B65-E;0;0;0;32707.93
;16815;072023;B65-E;0;0;0;32707.93
;16816;072023;B65-E;0;0;0;32707.93
;16820;072023;B65-E;0;0;0;32707.93
;16822;072023;B66-E;0;0;0;33525.63
;16823;072023;A65-E;0;0;0;32707.93
;16830;072023;C50-E;0;0;0;21936.96
;16831;072023;C50-E;0;0;0;21936.96
;16832;072023;B65-E;0;0;0;32707.93
;16835;072023;C50-E;0;0;0;21936.96
;16836;072023;C50-E;0;0;0;21936.96
;16837;072023;C51-E;0;0;0;22485.38
;16838;072023;C50-E;0;0;0;21936.96
;16839;072023;C50-E;0;0;0;21936.96
;16840;072023;C50-E;0;0;0;21936.96
;16841;072023;C50-E;0;0;0;21936.96
;16846;072023;B65-E;0;0;0;32707.93
;16847;072023;C50-E;0;0;0;21936.96
;16848;072023;C49-E;0;0;0;21401.91
;16864;072023;B65-E;0;0;0;32707.93
;16872;072023;B65-E;0;0;0;32707.93
;16920;072023;C50-E;0;0;0;21936.96
;16921;072023;C50-E;0;0;0;21936.96
;16922;072023;C50-E;0;0;0;21936.96
;16923;072023;C49-E;0;0;0;21401.91
;16934;072023;C50-E;0;0;0;21936.96
;18125;072023;E18;0;0;0;9256.89
;18323;072023;B62;0;0;0;29934.51
;18325;072023;B62;0;0;0;29934.51
;18326;072023;C47;0;0;0;20076.84
;18327;072023;B62;0;0;0;29934.51
;18328;072023;B62;0;0;0;29934.51
;18330;072023;B62;0;0;0;29934.51
;18332;072023;C47;0;0;0;20076.84
;18333;072023;B59;0;0;0;27797.17
;18334;072023;A62;0;0;0;29934.51
;18335;072023;C47;0;0;0;20076.84
;18338;072023;B62;0;0;0;29934.51
;18339;072023;B62;0;0;0;29934.51
;18340;072023;C47;0;0;0;20076.84
;18342;072023;A62;0;0;0;29934.51
;18343;072023;C47;0;0;0;20076.84
;18344;072023;B62;0;0;0;29934.51
;18345;072023;C47;0;0;0;20076.84
;18346;072023;B62;0;0;0;29934.51
;18347;072023;B62;0;0;0;29934.51
;18348;072023;B62;0;0;0;29934.51
;18350;072023;C47;0;0;0;20076.84
;18351;072023;C47;0;0;0;20076.84
;18403;072023;C47;0;0;0;20076.84
;18411;072023;B62;0;0;0;29934.51
;18459;072023;C47;0;0;0;20076.84
;18473;072023;C47;0;0;0;20076.84
;18493;072023;B62;0;0;0;29934.51
;18552;072023;B62;0;0;0;29934.51
;18665;072023;B62;0;0;0;29934.51
;18752;072023;C46;0;0;0;19587.16
;18820;072023;B61;0;0;0;29204.4
;19497;072023;A60;0;0;0;28492.1
;20067;072023;C41;0;0;0;17062.5
;20979;072023; ;0;0;0;10923.1
;22348;072023; ;0;0;0;14249.34
;22561;072023;C35;0;0;0;14500.73
;22610;072023;C35;0;0;0;14500.73
;22617;072023;C35;0;0;0;14500.73
;22698;072023;B49;0;0;0;21093.23
;22699;072023;A49;0;0;0;21093.23
;22700;072023;B49;0;0;0;21093.23
;22701;072023;A49;0;0;0;21093.23
;22702;072023;C34;0;0;0;14147.05
;22703;072023;A49;0;0;0;21093.23
;22705;072023;B49;0;0;0;21093.23
;22707;072023;A49;0;0;0;21093.23
;22708;072023;B49;0;0;0;21093.23
;22709;072023;A49;0;0;0;21093.23
;22711;072023;A49;0;0;0;21093.23
;22712;072023;B49;0;0;0;21093.23
;22722;072023;B49;0;0;0;21093.23
;22723;072023;A49;0;0;0;21093.23
;22729;072023;C34;0;0;0;14147.05
;22730;072023;B49;0;0;0;21093.23
;22731;072023;C34;0;0;0;14147.05
;22739;072023;C34;0;0;0;14147.05
;22740;072023;B49;0;0;0;21093.23
;22743;072023;C34;0;0;0;14147.05
;22752;072023;C34;0;0;0;14147.05
;22836;072023;C34;0;0;0;14147.05
;22837;072023;B49;0;0;0;21093.23
;22838;072023;B49;0;0;0;21093.23
;22842;072023;C34;0;0;0;14147.05
;22843;072023;C34;0;0;0;14147.05
;22844;072023;C34;0;0;0;14147.05
;22851;072023;B49;0;0;0;21093.23
;22855;072023;B49;0;0;0;21093.23
;22858;072023;B49;0;0;0;21093.23
;22906;072023;B49;0;0;0;21093.23
;22907;072023;B49;0;0;0;21093.23
;22908;072023;B49;0;0;0;21093.23
;22945;072023;A46;0;0;0;19587.16
;22946;072023;B46;0;0;0;19587.16
;22947;072023;B46;0;0;0;19587.16
;22960;072023;B46;0;0;0;19587.16
;22962;072023;C31;0;0;0;13136.95
;22964;072023;B46;0;0;0;19587.16
;22965;072023;B46;0;0;0;19587.16
;22966;072023;C31;0;0;0;13136.95
;22967;072023;C31;0;0;0;13136.95
;22970;072023;B46;0;0;0;19587.16
;22971;072023;C31;0;0;0;13136.95
;22972;072023;B46;0;0;0;19587.16
;22973;072023;C31;0;0;0;13136.95
;23005;072023;C31;0;0;0;13136.95
;23006;072023;A46;0;0;0;19587.16
;23009;072023;B46;0;0;0;19587.16
;23010;072023;B46;0;0;0;19587.16
;23011;072023;A46;0;0;0;19587.16
;23012;072023;B46;0;0;0;19587.16
;23013;072023;C31;0;0;0;13136.95
;23014;072023;C31;0;0;0;13136.95
;23017;072023;C31;0;0;0;13136.95
;23018;072023;C31;0;0;0;13136.95
;23020;072023;B46;0;0;0;19587.16
;23021;072023;C31;0;0;0;13136.95
;23022;072023;C31;0;0;0;13136.95
;23023;072023;B46;0;0;0;19587.16
;23025;072023;B46;0;0;0;19587.16
;23035;072023;B46;0;0;0;19587.16
;23047;072023;B46;0;0;0;19587.16
;23048;072023;B46;0;0;0;19587.16
;23051;072023;B46;0;0;0;19587.16
;23054;072023;C31;0;0;0;13136.95
;23056;072023;A46;0;0;0;19587.16
;23057;072023;B46;0;0;0;19587.16
;23058;072023;B46;0;0;0;19587.16
;23066;072023;A46;0;0;0;19587.16
;23069;072023;C31;0;0;0;13136.95
;23072;072023;A46;0;0;0;19587.16
;23073;072023;A46;0;0;0;19587.16
;23074;072023;C31;0;0;0;13136.95
;23077;072023;A46;0;0;0;19587.16
;23081;072023;B46;0;0;0;19587.16
;23082;072023;A46;0;0;0;19587.16
;23087;072023;B46;0;0;0;19587.16
;23182;072023;B46;0;0;0;19587.16
;23184;072023;C31;0;0;0;13136.95
;23185;072023;C31;0;0;0;13136.95
;23186;072023;B46;0;0;0;19587.16
;23187;072023;C31;0;0;0;13136.95
;23190;072023;C31;0;0;0;13136.95
;23192;072023;B46;0;0;0;19587.16
;23193;072023;B46;0;0;0;19587.16
;23194;072023;A46;0;0;0;19587.16
;23195;072023;C31;0;0;0;13136.95
;23198;072023;C31;0;0;0;13136.95
;23199;072023;C31;0;0;0;13136.95
;23201;072023;B46;0;0;0;19587.16
;23202;072023;A46;0;0;0;19587.16
;23203;072023;A46;0;0;0;19587.16
;23204;072023;B46;0;0;0;19587.16
;23205;072023;C31;0;0;0;13136.95
;23206;072023;B46;0;0;0;19587.16
;23209;072023;A46;0;0;0;19587.16
;23210;072023;B46;0;0;0;19587.16
;23212;072023;C31;0;0;0;13136.95
;23213;072023;C31;0;0;0;13136.95
;23217;072023;B46;0;0;0;19587.16
;23219;072023;C31;0;0;0;13136.95
;23224;072023;C31;0;0;0;13136.95
;23235;072023;B46;0;0;0;19587.16
;23262;072023;B46;0;0;0;19587.16
;23293;072023;B46;0;0;0;19587.16
;23296;072023;A46;0;0;0;19587.16
;23298;072023;C31;0;0;0;13136.95
;23299;072023;B46;0;0;0;19587.16
;23302;072023;B46;0;0;0;19587.16
;23304;072023;C31;0;0;0;13136.95
;23305;072023;B46;0;0;0;19587.16
;23306;072023;C31;0;0;0;13136.95
;23307;072023;C31;0;0;0;13136.95
;23308;072023;B46;0;0;0;19587.16
;23309;072023;B46;0;0;0;19587.16
;23310;072023;C31;0;0;0;13136.95
;23311;072023;C31;0;0;0;13136.95
;23312;072023;C31;0;0;0;13136.95
;23313;072023;A46;0;0;0;19587.16
;23315;072023;C31;0;0;0;13136.95
;23317;072023;B46;0;0;0;19587.16
;23318;072023;C31;0;0;0;13136.95
;23326;072023;B46;0;0;0;19587.16
;23375;072023;B46;0;0;0;19587.16
;23376;072023;C31;0;0;0;13136.95
;23377;072023;B46;0;0;0;19587.16
;23379;072023;B46;0;0;0;19587.16
;23380;072023;B46;0;0;0;19587.16
;23381;072023;C31;0;0;0;13136.95
;23382;072023;B46;0;0;0;19587.16
;23384;072023;B46;0;0;0;19587.16
;23389;072023;C31;0;0;0;13136.95
;23390;072023;C31;0;0;0;13136.95
;23392;072023;C31;0;0;0;13136.95
;23393;072023;C31;0;0;0;13136.95
;23396;072023;C31;0;0;0;13136.95
;23397;072023;C31;0;0;0;13136.95
;23398;072023;C31;0;0;0;13136.95
;23399;072023;C31;0;0;0;13136.95
;23400;072023;B46;0;0;0;19587.16
;23401;072023;B46;0;0;0;19587.16
;23402;072023;C31;0;0;0;13136.95
;23403;072023;B46;0;0;0;19587.16
;23404;072023;B46;0;0;0;19587.16
;23405;072023;B46;0;0;0;19587.16
;23406;072023;C31;0;0;0;13136.95
;23408;072023;C31;0;0;0;13136.95
;23409;072023;C31;0;0;0;13136.95
;23411;072023;B46;0;0;0;19587.16
;23413;072023;B46;0;0;0;19587.16
;23415;072023;A46;0;0;0;19587.16
;23421;072023;C31;0;0;0;13136.95
;23423;072023;C31;0;0;0;13136.95
;23424;072023;B46;0;0;0;19587.16
;23428;072023;C31;0;0;0;13136.95
;23429;072023;B46;0;0;0;19587.16
;23430;072023;B46;0;0;0;19587.16
;23431;072023;A46;0;0;0;19587.16
;23432;072023;B46;0;0;0;19587.16
;23433;072023;B46;0;0;0;19587.16
;23434;072023;C31;0;0;0;13136.95
;23437;072023;B46;0;0;0;19587.16
;23443;072023;C31;0;0;0;13136.95
;23483;072023;B46;0;0;0;19587.16
;23524;072023;B46;0;0;0;19587.16
;23526;072023;B46;0;0;0;19587.16
;23530;072023;B46;0;0;0;19587.16
;23532;072023;C31;0;0;0;13136.95
;23533;072023;C31;0;0;0;13136.95
;23538;072023;C31;0;0;0;13136.95
;23539;072023;C31;0;0;0;13136.95
;23541;072023;C31;0;0;0;13136.95
;23542;072023;C31;0;0;0;13136.95
;23543;072023;C31;0;0;0;13136.95
;23546;072023;B46;0;0;0;19587.16
;23547;072023;A46;0;0;0;19587.16
;23548;072023;C31;0;0;0;13136.95
;23549;072023;A46;0;0;0;19587.16
;23550;072023;B46;0;0;0;19587.16
;23552;072023;A46;0;0;0;19587.16
;23553;072023;C31;0;0;0;13136.95
;23556;072023;B46;0;0;0;19587.16
;23557;072023;A46;0;0;0;19587.16
;23558;072023;A46;0;0;0;19587.16
;23559;072023;B46;0;0;0;19587.16
;23560;072023;B46;0;0;0;19587.16
;23561;072023;B46;0;0;0;19587.16
;23562;072023;B46;0;0;0;19587.16
;23563;072023;B46;0;0;0;19587.16
