;Matricula;Mes_Recebimento;Padrao_Antigo;R1002_Antiga;R1007_Antiga;R1028_Antiga;R1170_Antiga;R1067_Antiga;R1013_Antiga;R1014_Antiga;R1002_Nova;R1007_Nova;R1028_Nova;R1170_Nova;R1067_Nova
;11236;102023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11237;102023;A69-E;36103.43;1083.1;11192.06;5415.51;5262.59;12529.98;16706.22;36103.43;1083.1;11192.06;5415.51;5262.59
;11238;102023;C54-E;24214.29;726.43;6780;3390;4915.5;0;0;24214.29;726.43;6780;3390;4915.5
;11239;102023;C54-E;24214.29;726.43;6537.85;3632.14;4923.88;0;0;24214.29;726.43;6537.85;3632.14;4923.88
;11240;102023;C54-E;24214.29;726.43;6780;3632.14;4949.4;12529.98;16262.32;24214.29;726.43;6780;3632.14;4949.4
;11257;102023;D39-E;16240.32;487.21;4547.28;2354.84;3316.53;0;0;16240.32;487.21;4547.28;2354.84;3316.53
;11258;102023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11265;102023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11268;102023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11275;102023;A69-E;36103.43;1083.1;11914.13;5415.51;5262.59;0;0;36103.43;1083.1;11914.13;5415.51;5262.59
;11279;102023;D39-E;16240.32;487.21;6008.91;2436.04;3524.14;0;0;16240.32;487.21;6008.91;2436.04;3524.14
;11289;102023;C54-E;24214.29;726.43;7022.14;3632.14;0;0;0;24214.29;726.43;7022.14;3632.14;0
;11298;102023;D39-E;16240.32;487.21;4872.09;2436.04;0;0;0;16240.32;487.21;4872.09;2436.04;0
;11304;102023;C54-E;0;0;0;0;18148.95;0;0;0;0;0;0;0
;11306;102023;D39-E;16240.32;487.21;4709.69;2436.04;3350.63;0;0;16240.32;487.21;4709.69;2436.04;3350.63
;11308;102023;D39-E;16240.32;487.21;6008.91;2436.04;4407.47;9859.98;11677.49;16240.32;487.21;6008.91;2436.04;3532.52
;11311;102023;C54-E;24214.29;726.43;6780;3632.14;5175.6;0;0;24214.29;726.43;6780;3632.14;5175.6
;11313;102023;D39-E;16240.32;487.21;6171.32;2436.04;3546.88;0;0;16240.32;487.21;6171.32;2436.04;3546.88
;11315;102023;C54-E;24214.29;726.43;6780;3632.14;4949.4;0;0;24214.29;726.43;6780;3632.14;4949.4
;11316;102023;D39-E;16240.32;487.21;4547.28;2354.84;3316.53;0;0;16240.32;487.21;4547.28;2354.84;3316.53
;11326;102023;D39-E;16240.32;487.21;4547.28;2436.04;0;0;0;16240.32;487.21;4547.28;2436.04;0
;11336;102023;C54-E;24214.29;726.43;7022.14;3632.14;4983.3;0;0;24214.29;726.43;7022.14;3632.14;4983.3
;11337;102023;E24-E;10892.27;326.77;3812.29;1633.84;2341.5;0;0;10892.27;326.77;3812.29;1633.84;2341.5
;11341;102023;D39-E;16240.32;487.21;4547.28;2436.04;3103.24;0;0;16240.32;487.21;4547.28;2436.04;3103.24
;11343;102023;B69-E;36103.43;1083.1;10469.99;5415.51;0;0;0;36103.43;1083.1;10831.02;5415.51;0
;11344;102023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11357;102023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11362;102023;C54-E;24214.29;726.43;7022.14;3632.14;0;0;0;24214.29;726.43;7022.14;3632.14;0
;11363;102023;C54-E;24214.29;726.43;7022.14;3632.14;4991.68;0;0;24214.29;726.43;7022.14;3632.14;4991.68
;11366;102023;E24-E;10892.27;326.77;3049.83;1633.84;0;0;0;10892.27;326.77;3049.83;1633.84;0
;11367;102023;E24-E;10892.27;326.77;3049.83;1633.84;2098.03;0;0;10892.27;326.77;3049.83;1633.84;2098.03
;11370;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;11373;102023;E24-E;10892.27;326.77;3049.83;1633.84;2226.37;0;0;10892.27;326.77;3049.83;1633.84;2226.37
;11377;102023;E24-E;10892.27;326.77;4030.13;1633.84;2363.62;0;0;10892.27;326.77;4030.13;1633.84;2363.62
;11378;102023;D39-E;16240.32;487.21;5196.9;2436.04;3425.24;0;0;16240.32;487.21;5196.9;2436.04;3425.24
;11381;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11382;102023;D39-E;16240.32;487.21;4222.48;2436.04;3282.42;0;0;16240.32;487.21;4222.48;2436.04;3282.42
;11391;102023;C54-E;24214.29;726.43;6780;3632.14;4957.78;0;0;24214.29;726.43;6780;3632.14;4957.78
;11398;102023;C54-E;24214.29;726.43;7506.42;3632.14;5059.48;0;0;24214.29;726.43;7506.42;3632.14;5059.48
;11409;102023;D39-E;16240.32;487.21;4872.09;2436.04;0;0;0;16240.32;487.21;4872.09;2436.04;0
;11412;102023;C54-E;24214.29;726.43;6780;2663.57;4822.18;0;0;24214.29;726.43;6780;2663.57;4822.18
;11414;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11419;102023;C54-E;24214.29;726.43;8475;3632.14;0;0;0;24214.29;726.43;8475;3632.14;0
;11423;102023;C54-E;24214.29;726.43;7748.57;3632.14;0;0;0;24214.29;726.43;7748.57;3632.14;0
;11436;102023;B69-E;36103.43;1083.1;10831.02;5415.51;0;0;0;36103.43;1083.1;10831.02;5415.51;0
;11437;102023;D39-E;16240.32;487.21;5034.49;2354.84;3384.74;0;0;16240.32;487.21;5034.49;2354.84;3384.74
;11439;102023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11452;102023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;11455;102023;C54-E;24214.29;726.43;6780;3632.14;4949.4;0;0;24214.29;726.43;6780;3632.14;4949.4
;11459;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11462;102023;C54-E;24214.29;726.43;7506.42;0;0;0;0;24214.29;726.43;7748.57;0;0
;11477;102023;E24-E;10892.27;326.77;2723.06;1633.84;2189.01;0;0;10892.27;326.77;2831.99;1633.84;2204.26
;11514;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11520;102023;E24-E;10892.27;326.77;3376.6;1633.84;2280.5;0;0;10892.27;326.77;3376.6;1633.84;2280.5
;11527;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11529;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11531;102023;E24-E;10892.27;326.77;3049.83;1470.45;2211.88;0;0;10892.27;326.77;3049.83;1470.45;2211.88
;11540;102023;E24-E;10892.27;326.77;3376.6;1633.84;2280.5;0;0;10892.27;326.77;3376.6;1633.84;2280.5
;11546;102023;B69-E;36103.43;1083.1;12636.2;5415.51;0;0;0;36103.43;1083.1;12636.2;5415.51;0
;11556;102023;A69-E;36103.43;1083.1;10469.99;5415.51;0;0;0;36103.43;1083.1;10469.99;5415.51;0
;11559;102023;D39-E;16240.32;487.21;5684.11;2436.04;3487.05;0;0;16240.32;487.21;5684.11;2436.04;3487.05
;11567;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;11569;102023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11606;102023;D39-E;16240.32;487.21;4872.09;2436.04;4229.65;0;0;16240.32;487.21;4872.09;2436.04;4229.65
;11607;102023;A69-E;36103.43;1083.1;12275.16;4873.96;0;0;0;36103.43;1083.1;12275.16;4873.96;0
;11614;102023;D39-E;16240.32;487.21;5846.51;2436.04;3595.17;0;0;16240.32;487.21;5846.51;2436.04;3595.17
;11616;102023;C54-E;24214.29;726.43;9927.85;3632.14;5262.59;0;0;24214.29;726.43;9927.85;3632.14;5262.59
;11617;102023;D39-E;16240.32;487.21;5521.7;2436.04;0;0;0;16240.32;487.21;5521.7;2436.04;0
;11625;102023;B69-E;36103.43;1083.1;10108.96;5415.51;5262.59;0;0;36103.43;1083.1;10108.96;5415.51;5262.59
;11627;102023;D39-E;16240.32;487.21;4547.28;2030.04;3271.06;0;0;16240.32;487.21;4547.28;2030.04;3271.06
;11633;102023;D39-E;16240.32;487.21;4384.88;1705.23;3412.29;0;0;16240.32;487.21;4384.88;1705.23;3412.29
;11635;102023;D39-E;16240.32;487.21;4547.28;2436.04;0;0;0;16240.32;487.21;4547.28;2436.04;0
;11638;102023;C54-E;24214.29;726.43;9201.43;3632.14;5015.68;0;0;24214.29;726.43;9201.43;3632.14;5015.68
;11643;102023;D39-E;16240.32;487.21;5846.51;2436.04;3530.96;0;0;16240.32;487.21;5846.51;2436.04;3530.96
;11651;102023;D39-E;16240.32;487.21;4222.48;2436.04;0;0;0;16240.32;487.21;4222.48;2436.04;0
;11657;102023;C54-E;24214.29;726.43;7990.71;3632.14;0;0;0;24214.29;726.43;7990.71;3632.14;0
;11664;102023;C54-E;24214.29;726.43;7022.14;3632.14;4983.3;0;0;24214.29;726.43;7022.14;3632.14;4983.3
;11671;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11675;102023;E24-E;10892.27;326.77;4139.06;1633.84;2636.11;0;0;10892.27;326.77;4139.06;1633.84;2636.11
;11681;102023;E24-E;10892.27;326.77;3049.83;1633.84;2059.87;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11686;102023;C54-E;24214.29;726.43;6780;3390;0;0;0;24214.29;726.43;6780;3390;0
;11697;102023;E24-E;10892.27;326.77;3921.21;1633.84;2348.37;0;0;10892.27;326.77;3921.21;1633.84;2348.37
;11698;102023;D39-E;16240.32;487.21;5196.9;2436.04;0;0;0;16240.32;487.21;5196.9;2436.04;0
;11699;102023;E24-E;10892.27;326.77;3812.29;1633.84;2341.5;0;0;10892.27;326.77;3812.29;1633.84;2341.5
;11701;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11702;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11705;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11717;102023;E24-E;10892.27;326.77;3049.83;1633.84;0;0;0;10892.27;326.77;3049.83;1633.84;0
;11718;102023;E24-E;10892.27;326.77;3049.83;1633.84;2226.37;0;0;10892.27;326.77;3049.83;1633.84;2226.37
;11728;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11729;102023;E24-E;10892.27;326.77;3049.83;1633.84;0;0;0;10892.27;326.77;3049.83;1633.84;0
;11739;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11743;102023;E24-E;10892.27;326.77;4030.13;1633.84;2363.62;0;0;10892.27;326.77;4030.13;1633.84;2363.62
;11750;102023;E24-E;10892.27;326.77;3049.83;1633.84;0;0;0;10892.27;326.77;3049.83;1633.84;0
;11752;102023;B69-E;36103.43;1083.1;10469.99;0;0;12529.98;0;36103.43;1083.1;10469.99;0;0
;11759;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11763;102023;D39-E;16240.32;487.21;5034.49;2436.04;3504.44;0;0;16240.32;487.21;5034.49;2436.04;3504.44
;11770;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11773;102023;D39-E;16240.32;487.21;5359.3;2436.04;3433.2;0;0;16240.32;487.21;5359.3;2436.04;3433.2
;11778;102023;E24-E;10892.27;326.77;3049.83;1633.84;0;0;0;10892.27;326.77;3158.75;1633.84;0
;11781;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11787;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;11797;102023;D39-E;16240.32;487.21;5196.9;2436.04;3410.46;0;0;16240.32;487.21;5196.9;2436.04;3410.46
;11840;102023;E24-E;10892.27;326.77;2940.91;1633.84;2219.51;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11845;102023;E24-E;10892.27;326.77;2940.91;1633.84;2219.51;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11859;102023;A69-E;36103.43;1083.1;9747.92;5415.51;5262.59;0;0;36103.43;1083.1;9747.92;5415.51;5262.59
;11860;102023;C54-E;24214.29;726.43;7264.28;3632.14;0;0;0;24214.29;726.43;7264.28;3632.14;0
;11863;102023;B69-E;36103.43;1083.1;9747.92;5415.51;5262.59;0;0;36103.43;1083.1;9747.92;5415.51;5262.59
;11865;102023;D39-E;16240.32;487.21;4709.69;2436.04;0;0;0;16240.32;487.21;4709.69;2436.04;0
;11868;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;11873;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;11875;102023;C54-E;24214.29;726.43;7264.28;3632.14;0;0;0;24214.29;726.43;7264.28;3632.14;0
;11878;102023;E24-E;10892.27;326.77;2940.91;1579.37;2211.88;0;0;10892.27;326.77;2940.91;1579.37;2211.88
;11879;102023;E24-E;10892.27;326.77;3594.44;1633.84;0;0;0;10892.27;326.77;3594.44;1633.84;0
;11880;102023;C54-E;24214.29;726.43;6780;3632.14;0;0;0;24214.29;726.43;6780;3632.14;0
;11887;102023;E24-E;10892.27;326.77;2940.91;1415.99;0;0;0;10892.27;326.77;2940.91;1415.99;0
;11889;102023;E24-E;10892.27;326.77;3049.83;1633.84;2234.76;0;0;10892.27;326.77;3049.83;1633.84;2234.76
;11890;102023;E24-E;10892.27;326.77;2940.91;1633.84;2211.13;0;0;10892.27;326.77;2940.91;1633.84;2211.13
;11900;102023;B69-E;36103.43;1083.1;11553.09;5415.51;5262.59;0;0;36103.43;1083.1;11914.13;5415.51;5262.59
;11907;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;11908;102023;C54-E;24214.29;726.43;6537.85;3632.14;4706.08;0;0;24214.29;726.43;6537.85;3632.14;4706.08
;11914;102023;D39-E;16240.32;487.21;5034.49;2436.04;3396.11;9198.05;0;16240.32;487.21;5034.49;2436.04;3396.11
;11920;102023;C54-E;24214.29;726.43;7748.57;3632.14;0;0;0;24214.29;726.43;7748.57;3632.14;0
;11922;102023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4709.69;2436.04;3350.63
;11925;102023;D39-E;16240.32;487.21;4384.88;2436.04;3305.16;0;0;16240.32;487.21;4384.88;2436.04;3305.16
;11927;102023;E24-E;10892.27;326.77;3812.29;1633.84;2333.12;0;0;10892.27;326.77;3812.29;1633.84;2333.12
;11928;102023;E24-E;10892.27;326.77;2831.99;1633.84;2025.56;0;0;10892.27;326.77;2831.99;1633.84;2025.56
;11929;102023;E24-E;10892.27;326.77;2940.91;1633.84;2211.13;0;0;10892.27;326.77;2940.91;1633.84;2211.13
;11930;102023;A69-E;36103.43;1083.1;11553.09;5415.51;5262.59;0;0;36103.43;1083.1;11553.09;5415.51;5262.59
;11939;102023;C54-E;24214.29;726.43;6537.85;3632.14;4923.88;0;0;24214.29;726.43;6537.85;3632.14;4923.88
;11952;102023;D39-E;16240.32;487.21;5034.49;2436.04;3396.11;0;0;16240.32;487.21;5034.49;2436.04;3396.11
;11953;102023;B69-E;36103.43;1083.1;11192.06;5415.51;0;0;0;36103.43;1083.1;11192.06;5415.51;0
;11954;102023;D39-E;16240.32;487.21;4872.09;2354.84;3362;0;0;16240.32;487.21;4872.09;2354.84;3362
;11958;102023;E24-E;10892.27;326.77;2940.91;1198.14;2158.51;0;0;10892.27;326.77;2940.91;1198.14;2158.51
;11971;102023;D39-E;16240.32;487.21;4872.09;2436.04;3419.56;0;0;16240.32;487.21;4872.09;2436.04;3419.56
;11972;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;11976;102023;D39-E;16240.32;487.21;4384.88;2436.04;3305.16;0;0;16240.32;487.21;4384.88;2436.04;3305.16
;11982;102023;C54-E;24214.29;726.43;6537.85;0;0;0;0;24214.29;726.43;6537.85;0;0
;11994;102023;C54-E;24214.29;726.43;6537.85;3390;0;0;0;24214.29;726.43;6537.85;3390;0
;11995;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;12002;102023;C54-E;24214.29;726.43;8475;3632.14;0;0;0;24214.29;726.43;8475;3632.14;0
;12003;102023;E24-E;10892.27;326.77;2940.91;326.76;2036.52;0;0;10892.27;326.77;2940.91;326.76;2036.52
;12014;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;12015;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;12019;102023;C54-E;24214.29;726.43;7022.14;3632.14;5262.59;0;0;24214.29;726.43;7022.14;3632.14;5262.59
;12021;102023;C54-E;24214.29;726.43;8232.85;3632.14;5262.59;0;0;24214.29;726.43;8232.85;3632.14;5262.59
;12025;102023;C54-E;24214.29;726.43;7506.42;3632.14;5051.09;0;0;24214.29;726.43;7506.42;3632.14;5051.09
;12028;102023;D39-E;16240.32;487.21;4547.28;2436.04;0;0;0;16240.32;487.21;4547.28;2436.04;0
;12032;102023;D39-E;16240.32;487.21;4547.28;2436.04;3327.9;0;0;16240.32;487.21;4547.28;2436.04;3327.9
;12034;102023;D39-E;16240.32;487.21;5196.9;2436.04;0;0;0;16240.32;487.21;5196.9;2436.04;0
;12043;102023;D39-E;16240.32;487.21;4709.69;2436.04;3350.63;0;0;16240.32;487.21;4709.69;2436.04;3350.63
;12054;102023;D39-E;16240.32;487.21;4872.09;2436.04;3364.99;0;0;16240.32;487.21;4872.09;2436.04;3364.99
;12056;102023;C54-E;24214.29;726.43;6053.57;0;4339.2;0;0;24214.29;726.43;6053.57;0;4339.2
;12058;102023;D39-E;16240.32;487.21;5196.9;2436.04;0;0;0;16240.32;487.21;5196.9;2436.04;0
;12060;102023;E24-E;10892.27;326.77;2940.91;1633.84;2211.13;0;0;10892.27;326.77;2940.91;1633.84;2211.13
;12064;102023;D39-E;16240.32;487.21;4872.09;2436.04;3373.37;0;0;16240.32;487.21;5034.49;2436.04;3396.11
;12068;102023;D39-E;16240.32;487.21;4547.28;2436.04;0;0;0;16240.32;487.21;4547.28;2436.04;0
;12069;102023;D39-E;16240.32;487.21;4709.69;2436.04;0;0;0;16240.32;487.21;4709.69;2436.04;0
;12073;102023;D39-E;16240.32;487.21;5034.49;2436.04;0;0;0;16240.32;487.21;5196.9;2436.04;0
;12076;102023;D39-E;16240.32;487.21;4384.88;2436.04;3305.16;0;0;16240.32;487.21;4384.88;2436.04;3305.16
;12137;102023;E24-E;10892.27;326.77;2940.91;1633.84;0;0;0;10892.27;326.77;2940.91;1633.84;0
;12138;102023;E24-E;10892.27;326.77;2940.91;1415.99;2061.19;0;0;10892.27;326.77;2940.91;1415.99;2189.01
;12150;102023;E24-E;10892.27;326.77;2940.91;1633.84;0;0;0;10892.27;326.77;2940.91;1633.84;0
;12234;102023;D39-E;16240.32;487.21;4384.88;2192.44;0;0;0;16240.32;487.21;4384.88;2192.44;0
;12238;102023;D39-E;16240.32;487.21;5034.49;2030.04;0;0;0;16240.32;487.21;5034.49;2030.04;0
;12239;102023;D39-E;16240.32;487.21;4384.88;2436.04;3296.78;0;0;16240.32;487.21;4384.88;2436.04;3296.78
;12260;102023;D39-E;16240.32;487.21;4872.09;2436.04;0;0;0;16240.32;487.21;4872.09;2436.04;0
;12291;102023;C54-E;24214.29;726.43;5569.28;3632.14;0;0;0;24214.29;726.43;5569.28;3632.14;0
;12293;102023;D39-E;16240.32;487.21;4384.88;1705.23;0;0;0;16240.32;487.21;4384.88;1705.23;0
;12315;102023;E24-E;10892.27;326.77;2940.91;1633.84;2219.51;0;0;10892.27;326.77;2940.91;1633.84;2219.51
;12321;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;12354;102023;E24-E;10892.27;326.77;2940.91;1633.84;0;0;0;10892.27;326.77;2940.91;1633.84;0
;12356;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;12369;102023;E24-E;10892.27;326.77;4356.9;1633.84;2417.75;0;0;10892.27;326.77;4356.9;1633.84;2417.75
;12371;102023;B69-E;36103.43;1083.1;9747.92;5415.51;0;0;0;36103.43;1083.1;9747.92;5415.51;0
;12373;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;12375;102023;D39-E;16240.32;487.21;5359.3;1542.83;0;0;0;16240.32;487.21;5359.3;1542.83;0
;12376;102023;E24-E;10892.27;326.77;2940.91;1633.84;2211.13;0;0;10892.27;326.77;2940.91;1633.84;2211.13
;12386;102023;C54-E;24214.29;726.43;7264.28;3511.07;5262.59;0;0;24214.29;726.43;7264.28;3511.07;5262.59
;12469;102023;C54-E;24214.29;726.43;6053.57;3632.14;6786.78;0;0;24214.29;726.43;6053.57;3632.14;4847.7
;12475;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;12481;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;12485;102023;A69-E;36103.43;1083.1;11553.09;5415.51;0;0;0;36103.43;1083.1;11553.09;5415.51;0
;12488;102023;C54-E;24214.29;726.43;6295.71;3632.14;0;0;0;24214.29;726.43;6295.71;3632.14;0
;12490;102023;E24-E;10892.27;326.77;3267.68;1633.84;2265.26;0;0;10892.27;326.77;3267.68;1633.84;2265.26
;12494;102023;E24-E;10892.27;326.77;2940.91;1633.84;0;5264.59;7019.28;10892.27;326.77;2940.91;1633.84;0
;12507;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;12511;102023;D39-E;16240.32;487.21;5196.9;2436.04;0;0;0;16240.32;487.21;5196.9;2436.04;0
;12517;102023;D39-E;16240.32;487.21;4384.88;2111.24;0;0;0;16240.32;487.21;4384.88;2111.24;0
;12527;102023;B69-E;36103.43;1083.1;10469.99;5415.51;5262.59;0;0;36103.43;1083.1;10469.99;5415.51;5262.59
;12530;102023;D39-E;16240.32;487.21;4384.88;2436.04;0;0;0;16240.32;487.21;4384.88;2436.04;0
;12531;102023;B69-E;36103.43;1083.1;9747.92;0;0;0;0;36103.43;1083.1;9747.92;0;0
;12533;102023;C54-E;24214.29;726.43;8717.14;3632.14;5262.59;0;0;24214.29;726.43;8717.14;3632.14;5262.59
;12534;102023;B69-E;36103.43;1083.1;12275.16;5415.51;5262.59;0;0;36103.43;1083.1;12275.16;5415.51;5262.59
;12540;102023;B69-E;36103.43;1083.1;9025.85;5415.51;5262.59;0;0;36103.43;1083.1;9025.85;5415.51;5262.59
;12548;102023;C54-E;24214.29;726.43;7990.71;3632.14;5118.89;0;0;24214.29;726.43;7990.71;3632.14;5118.89
;12551;102023;C54-E;24214.29;726.43;7264.28;3632.14;0;11945.71;15927.21;24214.29;726.43;7264.28;3632.14;0
;12563;102023;B65-E;32707.93;981.24;8504.06;4906.18;0;0;0;32707.93;981.24;8504.06;4906.18;0
;12570;102023;C54-E;24214.29;726.43;6780;3632.14;4957.78;0;0;24214.29;726.43;6780;3632.14;4957.78
;12581;102023;C54-E;24214.29;726.43;6295.71;3632.14;0;0;0;24214.29;726.43;6295.71;3632.14;0
;12599;102023;C54-E;24214.29;726.43;7990.71;3632.14;0;12529.98;16706.22;24214.29;726.43;7990.71;3632.14;0
;12610;102023;C54-E;24214.29;726.43;9201.43;3632.14;4946.21;0;0;24214.29;726.43;9201.43;3632.14;4946.21
;12613;102023;C54-E;24214.29;726.43;6537.85;3632.14;0;0;0;24214.29;726.43;6537.85;3632.14;0
;12635;102023;D39-E;16240.32;487.21;5196.9;2436.04;0;0;0;16240.32;487.21;5196.9;2436.04;0
;12651;102023;D39-E;16240.32;487.21;4547.28;2354.84;0;0;0;16240.32;487.21;4547.28;2354.84;0
